ID,x,y,z
67,-154.55447736300002,-28.178548140022077,0.06
68,-152.520865819,-24.65622962251932,0.07
69,-152.520865819,-24.65622962251932,0.06
70,-154.55447736300002,-21.13391110501656,0.07
71,-154.55447736300002,-21.13391110501656,0.06
72,-152.520865819,-17.611592587513798,0.07
73,-152.520865819,-17.611592587513798,0.06
74,-154.55447736300002,-14.089274070011038,0.07
75,-154.55447736300002,-14.089274070011038,0.06
76,-152.520865819,-10.56695555250828,0.07
77,-152.520865819,-10.56695555250828,0.06
78,-154.55447736300002,-7.044637035005519,0.07
79,-154.55447736300002,-7.044637035005519,0.06
80,-152.520865819,-3.5223185175027596,0.07
81,-152.520865819,-3.5223185175027596,0.06
82,-154.55447736300002,0.0,0.07
83,-154.55447736300002,0.0,0.06
84,-152.520865819,3.5223185175027596,0.07
85,-152.520865819,3.5223185175027596,0.06
86,-154.55447736300002,7.044637035005519,0.07
87,-154.55447736300002,7.044637035005519,0.06
88,-152.520865819,10.56695555250828,0.07
89,-152.520865819,10.56695555250828,0.06
90,-154.55447736300002,14.089274070011038,0.07
91,-154.55447736300002,14.089274070011038,0.06
92,-152.520865819,17.611592587513798,0.07
93,-152.520865819,17.611592587513798,0.06
94,-154.55447736300002,21.13391110501656,0.07
95,-154.55447736300002,21.13391110501656,0.06
96,-152.520865819,24.65622962251932,0.07
97,-152.520865819,24.65622962251932,0.06
98,-154.55447736300002,28.178548140022077,0.07
99,-154.55447736300002,28.178548140022077,0.06
100,-152.520865819,31.700866657524838,0.07
101,-152.520865819,31.700866657524838,0.06
102,-154.55447736300002,35.223185175027595,0.07
103,-154.55447736300002,35.223185175027595,0.06
104,-152.520865819,38.745503692530356,0.07
105,-152.520865819,38.745503692530356,0.06
106,-154.55447736300002,42.26782221003312,0.07
107,-154.55447736300002,42.26782221003312,0.06
108,-152.520865819,45.790140727535885,0.07
109,-152.520865819,45.790140727535885,0.06
110,-152.520865819,52.83477776254139,0.07
111,-152.520865819,52.83477776254139,0.06
